country_name_en,measurements_parameter,city,location,measurements_value,measurements_lastupdated
India,CO,,"Kharahiya Basti, Araria - BSPCB",3090.0,2022-10-31 01:45:00+00:00
India,CO,,"DM Office_Kasipur, Samastipur - BSPCB",290.0,2022-10-31 01:45:00+00:00
India,CO,,"Ashok Nagar, Udaipur - RSPCB",590.0,2022-10-31 01:45:00+00:00
India,CO,,"Punjabi Bagh, Delhi - DPCC",1500.0,2022-10-16 14:15:00+00:00
India,CO,,"Mandir Marg, Delhi - DPCC",0.0,2022-10-31 00:45:00+00:00
India,CO,,"Arya Nagar, Bahadurgarh - HSPCB",790.0,2022-10-31 01:30:00+00:00
India,CO,,"Kalal Majra, Khanna - PPCB",0.75,2022-10-31 01:00:00+00:00
India,CO,,"Municipal Corporation Office, Dharuhera -  HSPCB",1010.0,2022-10-31 01:45:00+00:00
India,CO,,"Powai, Mumbai - MPCB",1320.0,2022-10-16 13:15:00+00:00
India,CO,,"Shyam Nagar, Palwal - HSPCB",1350.0,2020-01-01 09:15:00+00:00
India,CO,,"Gole Bazar, Katni - MPPCB",400.0,2020-01-07 09:15:00+00:00
India,CO,,"Peenya, Bengaluru - KSPCB",970.0,2018-02-22 02:45:00+00:00
India,CO,,"Rajbansi Nagar, Patna - BSPCB",1470.0,2022-10-16 15:45:00+00:00
India,CO,,"B R Ambedkar University, Lucknow - UPPCB",670.0,2022-10-16 16:00:00+00:00
India,CO,,"Forest Rest House, Manguraha - BSPCB",920.0,2022-10-16 15:45:00+00:00
India,CO,,"Sion, Mumbai - MPCB",1960.0,2022-09-16 09:00:00+00:00
India,CO,,"R K Puram, Delhi - DPCC",2000.0,2022-10-30 11:15:00+00:00
India,CO,,"Bandra, Mumbai - MPCB",250.0,2021-11-19 11:00:00+00:00
India,CO,,Collectorate Jodhpur - RSPCB,70.0,2018-02-22 03:45:00+00:00
India,CO,,"MIDC Khutala, Chandrapur - MPCB",960.0,2022-10-11 12:45:00+00:00
India,CO,,"Chandrapur, Chandrapur - MPCB",560.0,2022-10-31 02:00:00+00:00
India,CO,,"Sector-D Industrial Area, Mandideep - MPPCB",1750.0,2022-10-31 02:00:00+00:00
India,CO,,"Nehru Nagar, Kanpur - UPPCB",660.0,2022-10-31 02:00:00+00:00
India,CO,,"Jawaharlal Nehru Stadium, Delhi - DPCC",900.0,2018-05-10 09:30:00+00:00
India,CO,,"Mini Secretariat, Charkhi Dadri - HSPCB",800.0,2022-10-16 16:00:00+00:00
India,CO,,"Kalyana Nagara, Chikkamagaluru - KSPCB",280.0,2022-10-16 16:00:00+00:00
India,CO,,"MIT-Kothrud, Pune - IITM",960.0,2022-07-11 05:15:00+00:00
India,CO,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",1040.0,2022-10-16 16:00:00+00:00
India,CO,,"Rohta, Agra - UPPCB",1760.0,2022-10-31 02:00:00+00:00
